,Id,Designation,Mass,Area,D,B,tw,T,FlangeSlope,R1,R2,Cy,Iz,Iy,rz,ry,Zz,Zy,Zpz,Zpy,Source
0,9,5,55.0,5.0,5,5,5.0,5.0,5,5.0,5.0,5.0,5.0,55.0,5.0,5.0,5.0,5.0,5.0,5.0,5
1,10,22,2.0,2.0,2,2,2.0,22.0,2,2.0,2.0,2.0,2.0,2.0,2.0,22.0,2.0,2.0,2.0,2.0,2
2,11,2,2.0,2.0,2,22,2.0,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,22.0,2.0,2.0,2
3,12,3,33.0,3.0,333,33,3.0,33.0,3,3.0,33.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,33.0,2.0,3
4,13,2,2.0,22.0,2,2,222.0,2.0,22,22.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,22.0,2
5,14,2,2.0,2.0,22,2,2.0,2.0,2,2.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,22.0,2
6,15,2,2.0,2.0,2,2,22.0,2.0,2,2.0,2.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,22.0,2
7,16,2,2.0,2.0,2,2,2.0,2.0,2,2.0,2.0,2.0,2.0,2.0,22.0,2.0,2.0,2.0,2.0,2.0,2
8,17,2,22.0,2.0,2,2,2.0,2.0,2,2.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
9,18,2,22.0,2.0,2,2,2.0,2.0,2,22.0,2.0,2.0,2.0,22.0,2.0,22.0,2.0,2.0,2.0,2.0,2
10,19,2,2.0,2.0,2,22,2.0,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,22
11,20,2,2.0,2.0,2,22,2.0,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,22
12,21,2,2.0,2.0,2,22,2.0,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.065,2.0,2.0,22
13,22,2,2.0,2.0,2,22,2.0,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.065,2.0,2.0,22.i
14,23,2,2.0,2.0,2,22,2.0,22.0,2,2.0,2.0,22.0,22.0,22.0,2.0,2.0,2.0,2.0,2.0,22.0,2
15,24,2,2.0,2.0,2,22,2.0,22.0,2,2.0,2.0,22.0,22.0,22.0,2.0,2.0,2.0,2.0,2.0,22.0,2
